product_category_name,total_revenue
beleza_saude,1412089.53
relogios_presentes,1264333.12
cama_mesa_banho,1225209.26
esporte_lazer,1118256.91
informatica_acessorios,1032723.77
moveis_decoracao,880329.92
utilidades_domesticas,758392.25
cool_stuff,691680.89
automotivo,669454.75
ferramentas_jardim,567145.68
brinquedos,547061.06
bebes,466727.65
perfumaria,443171.63
telefonia,379202.62
moveis_escritorio,335211.36
papelaria,269575.05
pet_shop,250614.20
pcs,228349.76
instrumentos_musicais,202187.12
eletronicos,200723.09
eletroportateis,198108.47
,197695.69
fashion_bolsas_e_acessorios,179888.29
malas_acessorios,168778.12
consoles_games,167097.73
construcao_ferramentas_construcao,162382.01
eletrodomesticos_2,118208.52
casa_construcao,95022.37
eletrodomesticos,93301.78
moveis_sala,85045.07
agro_industria_e_comercio,76203.30
casa_conforto,66438.22
climatizacao,59854.55
telefonia_fixa,59816.54
moveis_cozinha_area_de_servico_jantar_e_jardim,57072.97
audio,56255.32
livros_interesse_geral,54182.54
portateis_casa_forno_e_cafe,49245.90
construcao_ferramentas_iluminacao,47447.14
industria_comercio_e_negocios,46079.34
construcao_ferramentas_seguranca,42504.02
alimentos,35794.68
market_place,33114.38
construcao_ferramentas_jardim,30283.94
fashion_calcados,27814.83
sinalizacao_e_seguranca,27792.59
artes,27485.53
bebidas,26971.11
moveis_quarto,23379.22
livros_tecnicos,22901.07
alimentos_bebidas,19337.77
construcao_ferramentas_ferramentas,17934.17
fashion_roupa_masculina,12514.95
artigos_de_natal,11928.75
fashion_underwear_e_moda_praia,11160.02
tablets_impressao_imagem,8754.61
cine_foto,7902.18
musica,6724.86
moveis_colchao_e_estofado,5904.75
dvds_blu_ray,5769.84
artigos_de_festas,5285.38
livros_importados,5150.94
portateis_cozinha_e_preparadores_de_alimentos,4228.05
fashion_roupa_feminina,3218.44
fashion_esporte,2657.55
la_cuisine,2388.54
artes_e_artesanato,2184.14
fraldas_higiene,2046.19
flores,1598.91
pc_gamer,1430.10
casa_conforto_2,1170.58
cds_dvds_musicais,954.99
fashion_roupa_infanto_juvenil,598.67
seguros_e_servicos,324.51
